Nombres,Apellido Paterno,Apellido Materno,Tipo Documento,N° Documento,Teléfono,Email,Dirección
FERNANDO JOSE,ORTIZ,LEON,DNI,67012345,943201234,fernando.ortiz@gmail.com,CAL. UNION 396 AYACUCHO
DIANA CAROLINA,PEREZ,FUENTES,DNI,78123456,932012345,diana.perez@yahoo.com,AV. BOLOGNESI 507 HUARAZ
OSCAR MANUEL,ALVA,ESPINOZA,DNI,89234567,921023456,oscar.alva@gmail.com,JR. GRAU 618 CHIMBOTE
VERONICA SUSANA,HUAMAN,CONDORI,DNI,90345678,910234567,veronica.huaman@hotmail.com,AV. EJERCITO 729 JULIACA
EDGAR MARTIN,QUISPE,MAMANI,DNI,01456789,909345678,edgar.quispe@gmail.com,CAL. REAL 830 ABANCAY
NELLY ROXANA,CCOPA,APAZA,DNI,12567890,998456789,nelly.ccopa@yahoo.com,AV. REPUBLICA 941 HUANUCO
ALEX JUNIOR,TAPIA,VILLANUEVA,DNI,23678901,987567890,alex.tapia@gmail.com,JR. TACNA 052 TINGO MARIA
JESSICA PAOLA,MORAN,AGUIRRE,DNI,34789012,976678901,jessica.moran@hotmail.com,AV. GRAU 163 MOYOBAMBA
CHRISTIAN PAUL,SALAZAR,CAMPOS,DNI,45890123,965789012,christian.salazar@gmail.com,CAL. PROGRESO 274 TARAPOTO
MILAGROS DEL PILAR,VASQUEZ,ROMERO,DNI,56901234,954890123,milagros.vasquez@yahoo.com,AV. PERU 385 IQUITOS
HENRY WILLIAM,PALACIOS,GUERRERO,DNI,67012346,943901234,henry.palacios@gmail.com,JR. LIBERTAD 496 SULLANA
ELIZABETH JANET,CANO,MEDINA,DNI,78123457,932012346,elizabeth.cano@hotmail.com,AV. INDEPENDENCIA 507 PAITA
RONALD DAVID,MEZA,DELGADO,DNI,89234568,921123457,ronald.meza@gmail.com,CAL. UNION 618 TALARA
KARINA LISETH,BRAVO,PACHECO,DNI,90345679,910234568,karina.bravo@yahoo.com,AV. EJERCITO 729 CHULUCANAS
MARCO ANTONIO,LEON,NAVARRO,DNI,01456780,909345679,marco.leon@gmail.com,JR. AMAZONAS 830 CATACAOS
YOLANDA ESPERANZA,RIOS,CARRASCO,DNI,12567891,998456780,yolanda.rios@hotmail.com,AV. GRAU 941 FERRENAFE
JHON ALEXANDER,SOLIS,PONCE,DNI,23678902,987567891,jhon.solis@gmail.com,CAL. REAL 052 LAMBAYEQUE
MARISOL CONSUELO,ARCE,TELLO,DNI,34789013,976678902,marisol.arce@yahoo.com,AV. BOLOGNESI 163 MONSEFÚ
CESAR AUGUSTO,INFANTE,ZUÑIGA,DNI,45890124,965789013,cesar.infante@gmail.com,JR. UNION 274 ETEN
GLADYS MARLENI,CORONEL,BECERRA,DNI,56901235,954890124,gladys.coronel@hotmail.com,AV. REPUBLICA 385 REQUE
WILMER ENRIQUE,CUBAS,LLONTOP,DNI,67012347,943901235,wilmer.cubas@gmail.com,CAL. PROGRESO 496 PIMENTEL
ROSA AMELIA,FARRO,CHAFLOQUE,DNI,78123458,932012347,rosa.farro@yahoo.com,AV. PERU 507 SANTA ROSA
IVAN RODRIGO,HEREDIA,NIZAMA,DNI,89234569,921123458,ivan.heredia@gmail.com,JR. TACNA 618 POMALCA
LOURDES MAGALY,IDROGO,OBLITAS,DNI,90345670,910234569,lourdes.idrogo@hotmail.com,AV. GRAU 729 TUMAN
NELSON JAVIER,JULCA,PERALTA,DNI,01456781,909345670,nelson.julca@gmail.com,CAL. REAL 830 CAYALTI
ANGELA NOEMI,KAWAKAMI,QUIROZ,DNI,12567892,998456781,angela.kawakami@yahoo.com,AV. EJERCITO 941 ZAÑA
PAUL GIANCARLO,LLAUCE,RIVADENEIRA,DNI,23678903,987567892,paul.llauce@gmail.com,JR. LIBERTAD 052 CHEPEN
DIANA MILAGROS,MANAYAY,SANTISTEBAN,DNI,34789014,976678903,diana.manayay@hotmail.com,AV. INDEPENDENCIA 163 GUADALUPE
FRANK JUNIOR,NEYRA,TIRADO,DNI,45890125,965789014,frank.neyra@gmail.com,CAL. UNION 274 PACASMAYO
SANDRA ELIZABETH,OLIVA,URQUIAGA,DNI,56901236,954890125,sandra.oliva@yahoo.com,AV. BOLOGNESI 385 JEQUETEPEQUE
VICTOR HUGO,PINTADO,VALLEJOS,DNI,67012348,943901236,victor.pintado@gmail.com,JR. AMAZONAS 496 ASCOPE
WENDY CAROLINA,QUIROZ,WESTER,DNI,78123459,932012348,wendy.quiroz@hotmail.com,AV. GRAU 507 VIRU
XAVIER ANTONIO,RODRIGUEZ,YENQUE,DNI,89234560,921123459,xavier.rodriguez@gmail.com,CAL. PROGRESO 618 CHAO
YESENIA PAOLA,SUAREZ,ZEVALLOS,DNI,90345671,910234560,yesenia.suarez@yahoo.com,AV. PERU 729 HUARMEY
ZOILA ESPERANZA,TAFUR,ALVARADO,DNI,01456782,909345671,zoila.tafur@gmail.com,JR. TACNA 830 CASMA
BRAYAN SMITH,UGAZ,BUSTAMANTE,DNI,12567893,998456782,brayan.ugaz@hotmail.com,AV. REPUBLICA 941 BARRANCA
